file,U,D,date
limit_list_2018-01-02.csv,5,3,2018-01-02
limit_list_2018-01-03.csv,17,3,2018-01-03
limit_list_2018-01-04.csv,17,3,2018-01-04
limit_list_2018-01-05.csv,18,2,2018-01-05
limit_list_2018-01-08.csv,15,2,2018-01-08
limit_list_2018-01-09.csv,12,1,2018-01-09
limit_list_2018-01-10.csv,13,2,2018-01-10
limit_list_2018-01-11.csv,18,5,2018-01-11
limit_list_2018-01-12.csv,15,2,2018-01-12
limit_list_2018-01-15.csv,10,18,2018-01-15
limit_list_2018-01-16.csv,12,5,2018-01-16
limit_list_2018-01-17.csv,17,17,2018-01-17
limit_list_2018-01-18.csv,13,9,2018-01-18
limit_list_2018-01-19.csv,12,8,2018-01-19
limit_list_2018-01-22.csv,15,12,2018-01-22
limit_list_2018-01-23.csv,11,6,2018-01-23
limit_list_2018-01-24.csv,12,5,2018-01-24
limit_list_2018-01-25.csv,7,6,2018-01-25
limit_list_2018-01-26.csv,9,3,2018-01-26
limit_list_2018-01-29.csv,11,13,2018-01-29
limit_list_2018-01-30.csv,9,9,2018-01-30
limit_list_2018-01-31.csv,13,71,2018-01-31
limit_list_2018-02-01.csv,6,140,2018-02-01
limit_list_2018-02-02.csv,5,84,2018-02-02
limit_list_2018-02-05.csv,12,26,2018-02-05
limit_list_2018-02-06.csv,6,159,2018-02-06
limit_list_2018-02-07.csv,19,32,2018-02-07
limit_list_2018-02-08.csv,26,15,2018-02-08
limit_list_2018-02-09.csv,7,69,2018-02-09
limit_list_2018-02-12.csv,31,15,2018-02-12
limit_list_2018-02-13.csv,20,15,2018-02-13
limit_list_2018-02-14.csv,11,12,2018-02-14
limit_list_2018-02-22.csv,24,9,2018-02-22
limit_list_2018-02-23.csv,31,7,2018-02-23
limit_list_2018-02-26.csv,36,4,2018-02-26
limit_list_2018-02-27.csv,29,6,2018-02-27
limit_list_2018-02-28.csv,12,8,2018-02-28
limit_list_2018-03-01.csv,22,3,2018-03-01
limit_list_2018-03-02.csv,12,4,2018-03-02
limit_list_2018-03-05.csv,20,5,2018-03-05
limit_list_2018-03-06.csv,26,0,2018-03-06
limit_list_2018-03-07.csv,20,3,2018-03-07
limit_list_2018-03-08.csv,25,0,2018-03-08
limit_list_2018-03-09.csv,22,1,2018-03-09
limit_list_2018-03-12.csv,32,1,2018-03-12
limit_list_2018-03-13.csv,21,1,2018-03-13
limit_list_2018-03-14.csv,9,2,2018-03-14
limit_list_2018-03-15.csv,11,18,2018-03-15
limit_list_2018-03-16.csv,20,4,2018-03-16
limit_list_2018-03-19.csv,10,5,2018-03-19
limit_list_2018-03-20.csv,23,3,2018-03-20
limit_list_2018-03-21.csv,26,0,2018-03-21
limit_list_2018-03-22.csv,21,1,2018-03-22
limit_list_2018-03-23.csv,28,200,2018-03-23
limit_list_2018-03-26.csv,26,43,2018-03-26
limit_list_2018-03-27.csv,40,1,2018-03-27
limit_list_2018-03-28.csv,19,8,2018-03-28
limit_list_2018-03-29.csv,17,1,2018-03-29
limit_list_2018-03-30.csv,22,1,2018-03-30
limit_list_2018-04-02.csv,33,2,2018-04-02
limit_list_2018-04-03.csv,23,4,2018-04-03
limit_list_2018-04-04.csv,30,5,2018-04-04
limit_list_2018-04-09.csv,30,7,2018-04-09
limit_list_2018-04-10.csv,21,17,2018-04-10
limit_list_2018-04-11.csv,22,5,2018-04-11
limit_list_2018-04-12.csv,19,4,2018-04-12
limit_list_2018-04-13.csv,11,7,2018-04-13
limit_list_2018-04-16.csv,21,13,2018-04-16
limit_list_2018-04-17.csv,12,12,2018-04-17
limit_list_2018-04-18.csv,18,18,2018-04-18
limit_list_2018-04-19.csv,21,4,2018-04-19
limit_list_2018-04-20.csv,12,16,2018-04-20
limit_list_2018-04-23.csv,8,23,2018-04-23
limit_list_2018-04-24.csv,20,4,2018-04-24
limit_list_2018-04-25.csv,16,1,2018-04-25
limit_list_2018-04-26.csv,17,14,2018-04-26
limit_list_2018-04-27.csv,16,14,2018-04-27
limit_list_2018-05-02.csv,11,26,2018-05-02
limit_list_2018-05-03.csv,25,15,2018-05-03
limit_list_2018-05-04.csv,18,4,2018-05-04
limit_list_2018-05-07.csv,22,7,2018-05-07
limit_list_2018-05-08.csv,33,2,2018-05-08
limit_list_2018-05-09.csv,22,5,2018-05-09
limit_list_2018-05-10.csv,23,4,2018-05-10
limit_list_2018-05-11.csv,16,2,2018-05-11
limit_list_2018-05-14.csv,8,7,2018-05-14
limit_list_2018-05-15.csv,14,7,2018-05-15
limit_list_2018-05-16.csv,15,4,2018-05-16
limit_list_2018-05-17.csv,12,7,2018-05-17
limit_list_2018-05-18.csv,12,3,2018-05-18
limit_list_2018-05-21.csv,18,6,2018-05-21
limit_list_2018-05-22.csv,24,5,2018-05-22
limit_list_2018-05-23.csv,17,6,2018-05-23
limit_list_2018-05-24.csv,12,1,2018-05-24
limit_list_2018-05-25.csv,16,4,2018-05-25
limit_list_2018-05-28.csv,16,28,2018-05-28
limit_list_2018-05-29.csv,16,14,2018-05-29
limit_list_2018-05-30.csv,8,94,2018-05-30
limit_list_2018-05-31.csv,23,11,2018-05-31
limit_list_2018-06-01.csv,14,22,2018-06-01
limit_list_2018-06-04.csv,14,22,2018-06-04
limit_list_2018-06-05.csv,16,11,2018-06-05
limit_list_2018-06-06.csv,18,7,2018-06-06
limit_list_2018-06-07.csv,10,5,2018-06-07
limit_list_2018-06-08.csv,11,6,2018-06-08
limit_list_2018-06-11.csv,12,9,2018-06-11
limit_list_2018-06-12.csv,11,11,2018-06-12
limit_list_2018-06-13.csv,12,17,2018-06-13
limit_list_2018-06-14.csv,18,25,2018-06-14
limit_list_2018-06-15.csv,9,59,2018-06-15
limit_list_2018-06-19.csv,10,569,2018-06-19
limit_list_2018-06-20.csv,25,57,2018-06-20
limit_list_2018-06-21.csv,26,65,2018-06-21
limit_list_2018-06-22.csv,23,34,2018-06-22
limit_list_2018-06-25.csv,18,15,2018-06-25
limit_list_2018-06-26.csv,27,14,2018-06-26
limit_list_2018-06-27.csv,28,14,2018-06-27
limit_list_2018-06-28.csv,17,18,2018-06-28
limit_list_2018-06-29.csv,49,10,2018-06-29
limit_list_2018-07-02.csv,36,10,2018-07-02
limit_list_2018-07-03.csv,30,13,2018-07-03
limit_list_2018-07-04.csv,14,27,2018-07-04
limit_list_2018-07-05.csv,9,36,2018-07-05
limit_list_2018-07-06.csv,28,24,2018-07-06
limit_list_2018-07-09.csv,16,11,2018-07-09
limit_list_2018-07-10.csv,27,6,2018-07-10
limit_list_2018-07-11.csv,15,34,2018-07-11
limit_list_2018-07-12.csv,33,6,2018-07-12
limit_list_2018-07-13.csv,24,10,2018-07-13
limit_list_2018-07-16.csv,26,23,2018-07-16
limit_list_2018-07-17.csv,28,10,2018-07-17
limit_list_2018-07-18.csv,34,10,2018-07-18
limit_list_2018-07-19.csv,18,11,2018-07-19
limit_list_2018-07-20.csv,30,3,2018-07-20
limit_list_2018-07-23.csv,20,16,2018-07-23
limit_list_2018-07-24.csv,33,0,2018-07-24
limit_list_2018-07-25.csv,35,1,2018-07-25
limit_list_2018-07-26.csv,55,3,2018-07-26
limit_list_2018-07-27.csv,32,10,2018-07-27
limit_list_2018-07-30.csv,21,33,2018-07-30
limit_list_2018-07-31.csv,25,12,2018-07-31
limit_list_2018-08-01.csv,17,6,2018-08-01
limit_list_2018-08-02.csv,14,46,2018-08-02
limit_list_2018-08-03.csv,21,21,2018-08-03
limit_list_2018-08-06.csv,16,38,2018-08-06
limit_list_2018-08-07.csv,24,12,2018-08-07
limit_list_2018-08-08.csv,21,20,2018-08-08
limit_list_2018-08-09.csv,30,6,2018-08-09
limit_list_2018-08-10.csv,23,5,2018-08-10
limit_list_2018-08-13.csv,24,4,2018-08-13
limit_list_2018-08-14.csv,18,6,2018-08-14
limit_list_2018-08-15.csv,17,7,2018-08-15
limit_list_2018-08-16.csv,17,16,2018-08-16
limit_list_2018-08-17.csv,10,14,2018-08-17
limit_list_2018-08-20.csv,15,17,2018-08-20
limit_list_2018-08-21.csv,21,7,2018-08-21
limit_list_2018-08-22.csv,14,13,2018-08-22
limit_list_2018-08-23.csv,13,7,2018-08-23
limit_list_2018-08-24.csv,10,5,2018-08-24
limit_list_2018-08-27.csv,19,6,2018-08-27
limit_list_2018-08-28.csv,20,5,2018-08-28
limit_list_2018-08-29.csv,13,2,2018-08-29
limit_list_2018-08-30.csv,7,7,2018-08-30
limit_list_2018-08-31.csv,10,12,2018-08-31
limit_list_2018-09-03.csv,17,16,2018-09-03
limit_list_2018-09-04.csv,23,4,2018-09-04
limit_list_2018-09-05.csv,23,5,2018-09-05
limit_list_2018-09-06.csv,20,3,2018-09-06
limit_list_2018-09-07.csv,24,3,2018-09-07
limit_list_2018-09-10.csv,20,14,2018-09-10
limit_list_2018-09-11.csv,17,14,2018-09-11
limit_list_2018-09-12.csv,22,5,2018-09-12
limit_list_2018-09-13.csv,15,7,2018-09-13
limit_list_2018-09-14.csv,14,13,2018-09-14
limit_list_2018-09-17.csv,13,22,2018-09-17
limit_list_2018-09-18.csv,26,9,2018-09-18
limit_list_2018-09-19.csv,31,7,2018-09-19
limit_list_2018-09-20.csv,24,4,2018-09-20
limit_list_2018-09-21.csv,25,5,2018-09-21
limit_list_2018-09-25.csv,14,6,2018-09-25
limit_list_2018-09-26.csv,20,6,2018-09-26
limit_list_2018-09-27.csv,14,12,2018-09-27
limit_list_2018-09-28.csv,17,11,2018-09-28
limit_list_2018-10-08.csv,13,33,2018-10-08
limit_list_2018-10-09.csv,18,6,2018-10-09
limit_list_2018-10-10.csv,22,9,2018-10-10
limit_list_2018-10-11.csv,17,590,2018-10-11
limit_list_2018-10-12.csv,17,102,2018-10-12
limit_list_2018-10-15.csv,30,24,2018-10-15
limit_list_2018-10-16.csv,21,32,2018-10-16
limit_list_2018-10-17.csv,28,28,2018-10-17
limit_list_2018-10-18.csv,19,84,2018-10-18
limit_list_2018-10-19.csv,24,27,2018-10-19
limit_list_2018-10-22.csv,105,3,2018-10-22
limit_list_2018-10-23.csv,43,5,2018-10-23
limit_list_2018-10-24.csv,33,4,2018-10-24
limit_list_2018-10-25.csv,16,19,2018-10-25
limit_list_2018-10-26.csv,31,5,2018-10-26
limit_list_2018-10-29.csv,14,20,2018-10-29
limit_list_2018-10-30.csv,41,12,2018-10-30
limit_list_2018-10-31.csv,37,4,2018-10-31
limit_list_2018-11-01.csv,44,4,2018-11-01
limit_list_2018-11-02.csv,35,4,2018-11-02
limit_list_2018-11-05.csv,46,5,2018-11-05
limit_list_2018-11-06.csv,34,12,2018-11-06
limit_list_2018-11-07.csv,36,5,2018-11-07
limit_list_2018-11-08.csv,41,6,2018-11-08
limit_list_2018-11-09.csv,38,6,2018-11-09
limit_list_2018-11-12.csv,74,3,2018-11-12
limit_list_2018-11-13.csv,82,2,2018-11-13
limit_list_2018-11-14.csv,56,5,2018-11-14
limit_list_2018-11-15.csv,41,3,2018-11-15
limit_list_2018-11-16.csv,51,3,2018-11-16
limit_list_2018-11-19.csv,42,10,2018-11-19
limit_list_2018-11-20.csv,29,18,2018-11-20
limit_list_2018-11-21.csv,31,5,2018-11-21
limit_list_2018-11-22.csv,33,5,2018-11-22
limit_list_2018-11-23.csv,12,52,2018-11-23
limit_list_2018-11-26.csv,22,18,2018-11-26
limit_list_2018-11-27.csv,27,4,2018-11-27
limit_list_2018-11-28.csv,23,11,2018-11-28
limit_list_2018-11-29.csv,20,12,2018-11-29
limit_list_2018-11-30.csv,17,12,2018-11-30
limit_list_2018-12-03.csv,45,1,2018-12-03
limit_list_2018-12-04.csv,28,1,2018-12-04
limit_list_2018-12-05.csv,24,11,2018-12-05
limit_list_2018-12-06.csv,16,15,2018-12-06
limit_list_2018-12-07.csv,11,6,2018-12-07
limit_list_2018-12-10.csv,14,12,2018-12-10
limit_list_2018-12-11.csv,20,5,2018-12-11
limit_list_2018-12-12.csv,14,3,2018-12-12
limit_list_2018-12-13.csv,13,5,2018-12-13
limit_list_2018-12-14.csv,13,8,2018-12-14
limit_list_2018-12-17.csv,19,6,2018-12-17
limit_list_2018-12-18.csv,9,6,2018-12-18
limit_list_2018-12-19.csv,11,2,2018-12-19
limit_list_2018-12-20.csv,16,9,2018-12-20
limit_list_2018-12-21.csv,9,10,2018-12-21
limit_list_2018-12-24.csv,6,4,2018-12-24
limit_list_2018-12-25.csv,18,24,2018-12-25
limit_list_2018-12-26.csv,23,5,2018-12-26
limit_list_2018-12-27.csv,15,15,2018-12-27
